name,city,countryOne,code,lat,lon,type,countryTwo,id
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.17079926,-106.6999969,air,,b0297a73-5620-4b3f-a324-973c54cf7343
Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182,-110.7210007,air,,f3a63319-16c2-4406-9af2-b3cc5ba19374
Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814,-120.7399979,air,,b8271de4-0ad2-4702-91b5-8f056cf8346d
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.11389923,-91.90529633,air,,c95baee3-102d-4149-aa97-f1d5a74e7622
Pangnirtung Airport,Pangnirtung,Canada,YXP,66.14499664,-65.71360016,air,,381bf42d-5b44-4ce9-b038-ae809ebb36a7
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.69740065,-79.84734535,air,,5812ce84-73b7-434c-8a49-c325d076cbf0
Prince George Airport,Prince George,Canada,YXS,53.88940048,-122.6790009,air,,8d0130b3-c665-4115-83c4-6df952a4d700
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009,air,,561a367e-cc16-4e00-a0d8-b007b72a7fc1
London Airport,London,Canada,YXU,43.035599,-81.1539,air,,02f5d62c-dcbc-48d6-a8b7-5fa057259247
Abbotsford Airport,Abbotsford,Canada,YXX,49.02529907,-122.3610001,air,,95518a9e-ff6e-439b-ade3-6ebfa7e1de9e
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.70959854,-135.0670013,air,,d3a45364-f071-40c0-966e-d6cc92e5d602
North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798,air,,ab3789ce-96f4-4452-b8c4-842e58b5cbe1
Calgary International Airport,Calgary,Canada,YYC,51.11389923,-114.0199966,air,,2a3a52b6-4587-40f1-b49a-633e31d687b5
Smithers Airport,Smithers,Canada,YYD,54.8246994,-127.1829987,air,,7ffc8266-ff3d-4230-b349-a63c3e3a8c94
Fort Nelson Airport,Fort Nelson,Canada,YYE,58.83639908,-122.5970001,air,,5b0367a5-c9ff-4484-8241-e7e7df43cb1a
Penticton Airport,Penticton,Canada,YYF,49.46310043,-119.6019974,air,,2c08b7d5-8f39-4e0a-9f2d-d2b8c02b05c1
Charlottetown Airport,Charlottetown,Canada,YYG,46.29000092,-63.12110138,air,,d3f177b6-bb10-41ad-b616-73244f0fd75b
Taloyoak Airport,Spence Bay,Canada,YYH,69.54669952,-93.5766983,air,,22d6b136-e5ca-4a65-a22a-6d20ea7e8c34
Victoria International Airport,Victoria,Canada,YYJ,48.64690018,-123.4260025,air,,9f7005a5-5097-40b3-af42-e3975a418c0b
Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923,-101.0759964,air,,e53e6246-9e83-4cc1-b860-9722e18572c2
Swift Current Airport,Swift Current,Canada,YYN,50.29190063,-107.6910019,air,,4901a4c7-d76c-4367-a1a1-2dd6c5aeecf8
Churchill Airport,Churchill,Canada,YYQ,58.73920059,-94.06500244,air,,2c1c116d-5b8d-4a3c-b33d-77f8403a749c
Goose Bay Airport,Goose Bay,Canada,YYR,53.31919861,-60.42580032,air,,5e35d05a-ea17-44bb-806b-df85ed2cb174
St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972,air,,2b5c2397-0013-406f-9b1c-c69102fa85a1
Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389847,-82.46749878,air,,3343ccf4-436b-4698-a951-a6d15f304d4d
Armstrong Airport,Armstrong,Canada,YYW,50.29029846,-88.90969849,air,,f104b427-4449-4361-8e78-4988b8857668
Mont Joli Airport,Mont Joli,Canada,YYY,48.60860062,-68.20809937,air,,15541d69-b0fe-429c-bf36-4d5ab02636ba
Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998,air,,e15e0ead-fdf6-4719-bcb4-cce3d216e611
Downsview Airport,Toronto,Canada,YZD,43.74250031,-79.46559906,air,,11838168-7cf7-4b6a-af96-5c82d4e0d841
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968,-82.56780243,air,,840d45e3-d9e0-4d69-a422-372c837c5bcc
Yellowknife Airport,Yellowknife,Canada,YZF,62.46279907,-114.4400024,air,,e277b986-7d0b-4506-8739-016e31261362
